Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,42
design__inferred_latch__count,0
design__instance__count,59
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 1076.16 1832.52
design__core__bbox,5.76 15.12 1070.4 1814.4
design__io,1254
design__die__area,1.97208E+6
design__core__area,1.97208E+6
design__instance__area,1.96529E+6
design__instance__count__stdcell,0
design__instance__area__stdcell,0
design__instance__count__macros,59
design__instance__area__macros,1.96529E+6
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.996556
design__instance__utilization__stdcell,0
design__rows,0
design__rows:CoreSite,476
design__sites,0
design__sites:CoreSite,1055768
design__instance__count__class:macro,59
design__instance__area__class:macro,1.96529E+6
flow__warnings__count,1
flow__errors__count,0
floorplan__design__io,1224
design__io__hpwl,1394040
global_route__vias,7
global_route__wirelength,1001
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
route__net,13255
route__net__special,2
route__drc_errors__iter:0,0
route__wirelength__iter:0,2034
route__drc_errors,0
route__wirelength,2034
route__vias,7
route__vias__singlecut,7
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,977.73
design__xor_difference__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
