Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,23
design__inferred_latch__count,0
design__instance__count,2612
design__instance__area,40279.7
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 107.52 430.08
design__core__bbox,5.76 3.78 101.76 423.36
design__io,621
design__die__area,46242.2
design__core__area,40279.7
design__instance__count__stdcell,1479
design__instance__area__stdcell,33914.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.841982
design__instance__utilization__stdcell,0.841982
design__rows,111
design__rows:CoreSite,111
design__sites,22200
design__sites:CoreSite,22200
design__instance__count__class:buffer,254
design__instance__area__class:buffer,1843.43
design__instance__count__class:inverter,51
design__instance__area__class:inverter,277.603
design__instance__count__class:sequential_cell,608
design__instance__area__class:sequential_cell,18753.6
design__instance__count__class:multi_input_combinational_cell,517
design__instance__area__class:multi_input_combinational_cell,12718.9
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,118972
design__violations,0
design__instance__count__class:clock_buffer,3
design__instance__area__class:clock_buffer,70.7616
global_route__vias,14179
global_route__wirelength,174591
antenna__violating__nets,5
antenna__violating__pins,6
route__antenna_violation__count,5
antenna_diodes_count,46
design__instance__count__class:antenna_cell,46
design__instance__area__class:antenna_cell,250.387
route__net,1719
route__net__special,2
route__drc_errors__iter:0,1165
route__wirelength__iter:0,142255
route__drc_errors__iter:1,558
route__wirelength__iter:1,141979
route__drc_errors__iter:2,499
route__wirelength__iter:2,141836
route__drc_errors__iter:3,0
route__wirelength__iter:3,141603
route__drc_errors,0
route__wirelength,141603
route__vias,13928
route__vias__singlecut,13928
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1182.55
design__instance__count__class:fill_cell,1133
design__instance__area__class:fill_cell,6364.92
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.1999
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19995
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.000101474
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000984672
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000046552
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000984672
design_powergrid__voltage__worst,0.0000984672
design_powergrid__voltage__worst__net:VPWR,1.1999
design_powergrid__drop__worst,0.000101474
design_powergrid__drop__worst__net:VPWR,0.000101474
design_powergrid__voltage__worst__net:VGND,0.0000984672
design_powergrid__drop__worst__net:VGND,0.0000984672
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.0000460000000000000000359955121265187472090474329888820648193359375
ir__drop__worst,0.000101000000000000001994064635635339755026507191359996795654296875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
